iter	Logloss
0	0.6896776113
1	0.6864661183
2	0.6839303641
3	0.6804431236
4	0.6775066125
5	0.6745535391
6	0.6721228609
7	0.6692066587
8	0.6666608582
9	0.6641045034
10	0.6613888686
11	0.659086668
12	0.6565138539
13	0.6539068153
14	0.6512159422
15	0.6490812682
16	0.6466371614
17	0.6443767698
18	0.6419646197
19	0.6395938053
20	0.6367760112
21	0.634118715
22	0.6321708343
23	0.6300484493
24	0.6278086201
25	0.6255512568
26	0.6235510243
27	0.6213039225
28	0.6189222141
29	0.6171900379
30	0.615138463
31	0.6130140035
32	0.6112682515
33	0.6096044162
34	0.6078827781
35	0.6058435818
36	0.6043280199
37	0.6020957387
38	0.6005073829
39	0.5990215721
40	0.5975767933
41	0.5961416617
42	0.5944585949
43	0.5930146719
44	0.5915541478
45	0.5902465428
46	0.588689153
47	0.5869789865
48	0.5855562368
49	0.5839013181
50	0.5823408229
51	0.5808958988
52	0.5789718106
53	0.5774106208
54	0.5758061142
55	0.5746365064
56	0.5732124688
57	0.5714199736
58	0.5701011333
59	0.5689842353
60	0.5676681987
61	0.5666283065
62	0.5654605822
63	0.5641835094
64	0.5630687077
65	0.5618335718
66	0.5608305739
67	0.560069768
68	0.5590961416
69	0.5580539007
70	0.5570235701
71	0.5561201087
72	0.5551273911
73	0.5537877228
74	0.5529803096
75	0.5518552284
76	0.5508701402
77	0.5496681583
78	0.5491314377
79	0.54810912
80	0.5469458441
81	0.5461554848
82	0.5452557129
83	0.5446996051
84	0.5438594474
85	0.5430321293
86	0.5419108141
87	0.5405220646
88	0.5394869195
89	0.5387431229
90	0.5379704187
91	0.5372011113
92	0.5366129713
93	0.5356912138
94	0.5350144216
95	0.5343163321
96	0.5336577429
97	0.5326590754
98	0.5319625316
99	0.5308974811
100	0.5302254985
101	0.5294291115
102	0.5285491788
103	0.5280406038
104	0.5274127
105	0.5266589076
106	0.5258842694
107	0.5252322394
108	0.5243965076
109	0.5237349096
110	0.5232238666
111	0.5223380065
112	0.5219406712
113	0.5211735392
114	0.5205160209
115	0.519914217
116	0.5193286509
117	0.5188955595
118	0.5182338485
119	0.517675379
120	0.5172532643
121	0.5167464081
122	0.5159259784
123	0.5151963317
124	0.5145108264
125	0.5139173401
126	0.5132116878
127	0.5127328248
128	0.5122856447
129	0.5118777937
130	0.5109945236
131	0.5104882445
132	0.509774327
133	0.5093357861
134	0.5087751242
135	0.508258811
136	0.5076495189
137	0.5073300174
138	0.5069306243
139	0.5064782258
140	0.5060261162
141	0.5055583781
142	0.5050342658
143	0.5039365227
144	0.5034040159
145	0.5030968534
146	0.5026202275
147	0.5021709733
148	0.5017510518
149	0.5012976009
150	0.5008755518
151	0.5003671667
152	0.4999087085
153	0.4994051937
154	0.499100459
155	0.4988124239
156	0.4984226779
157	0.4979119693
158	0.4971732346
159	0.4969600347
160	0.496149543
161	0.4957489714
162	0.4952276681
163	0.4945773823
164	0.4936336322
165	0.4931155457
166	0.492689216
167	0.4922124093
168	0.4917761653
169	0.4914435332
170	0.4912580464
171	0.4907353135
172	0.4903919379
173	0.4900031929
174	0.4896329198
175	0.489398662
176	0.4888252529
177	0.4884583928
178	0.4881883745
179	0.4876489711
180	0.4872398132
181	0.4866937444
182	0.48645746
183	0.4858397412
184	0.4852436027
185	0.4850502384
186	0.4846830262
187	0.4844047859
188	0.4840217323
189	0.4836838748
190	0.4832958172
191	0.4828801496
192	0.4825979497
193	0.4821606503
194	0.4815091753
195	0.4811485065
196	0.4807700053
197	0.480350652
198	0.4798725926
199	0.4795694964
200	0.4792366715
201	0.4788515926
202	0.4785045592
203	0.4780427517
204	0.4778243692
205	0.4772468284
206	0.4770000418
207	0.4767320234
208	0.4764688666
209	0.4761620875
210	0.475797275
211	0.4755836324
212	0.4752904849
213	0.4749725522
214	0.4746954209
215	0.4743801451
216	0.4738798303
217	0.47357664
218	0.4730134239
219	0.4727707892
220	0.4724913171
221	0.4722636607
222	0.4719540639
223	0.4715181163
224	0.4712592617
225	0.4708714786
226	0.4702916976
227	0.4698696092
228	0.469516982
229	0.4691997993
230	0.4687997843
231	0.4685162288
232	0.4682654677
233	0.4680782438
234	0.4676841745
235	0.4673049091
236	0.4671997952
237	0.4668969699
238	0.4665628507
239	0.466079335
240	0.4656844086
241	0.465150717
242	0.4646474247
243	0.4642931696
244	0.4639538235
245	0.463675698
246	0.4633680729
247	0.4631852527
248	0.4628990808
249	0.4626535185
250	0.4622271754
251	0.4618827917
252	0.4614517277
253	0.4611856873
254	0.4608483119
255	0.4605270845
256	0.4601562323
257	0.4596356161
258	0.4593769186
259	0.4592590374
260	0.4590110519
261	0.4587718032
262	0.4584500185
263	0.4580686946
264	0.4577227296
265	0.4574754418
266	0.4570832625
267	0.4568933869
268	0.4566807174
269	0.4564293475
270	0.4562191515
271	0.4560153558
272	0.4556795172
273	0.4552996698
274	0.45465277
275	0.4542517203
276	0.4541233652
277	0.4538186335
278	0.4537088118
279	0.4534012965
280	0.4532302801
281	0.4528979202
282	0.4525832022
283	0.4522741438
284	0.4520539628
285	0.4517807778
286	0.4514442477
287	0.4513106282
288	0.4511189798
289	0.4506617478
290	0.4503605309
291	0.4500069468
292	0.4497996848
293	0.4494634023
294	0.4491238243
295	0.4487572112
296	0.4485375221
297	0.4480211939
298	0.4477104042
299	0.4474982069
300	0.4472378673
301	0.4469573431
302	0.4465959765
303	0.4463428506
304	0.4461799362
305	0.4461018105
306	0.4457760543
307	0.4455572851
308	0.4453404722
309	0.445107984
310	0.4448659017
311	0.4446781405
312	0.4444824625
313	0.4442906899
314	0.4440737525
315	0.4435957397
316	0.4432888421
317	0.4430367006
318	0.4429198682
319	0.442708229
320	0.4425037538
321	0.4421741559
322	0.4419246717
323	0.4416753839
324	0.4414813637
325	0.4412874487
326	0.441048861
327	0.440882458
328	0.4406220538
329	0.4403517225
330	0.4401743547
331	0.4399833771
332	0.4397141047
333	0.4395567895
334	0.4393399065
335	0.4391641592
336	0.4387996529
337	0.4385784973
338	0.4384189106
339	0.4381358637
340	0.4378396988
341	0.4377117312
342	0.4374797675
343	0.4372970515
344	0.436999949
345	0.4367849421
346	0.4365155179
347	0.4363275023
348	0.4361319714
349	0.4358950483
350	0.435609272
351	0.4352990363
352	0.4352526404
353	0.434986262
354	0.4347504175
355	0.4345604683
356	0.434016986
357	0.4337942369
358	0.4334753753
359	0.433142261
360	0.432890427
361	0.4326238302
362	0.4324466807
363	0.4323127747
