iter	Passed	Remaining
403	4806	7090
404	4816	7075
405	4822	7056
406	4830	7038
407	4837	7019
408	4845	7002
409	4853	6984
410	4861	6966
411	4868	6948
412	4877	6931
413	4883	6913
414	4891	6895
415	4899	6877
416	4906	6859
417	4913	6841
418	4921	6823
419	4928	6806
420	4937	6790
421	4945	6773
422	4953	6756
423	4962	6741
424	4971	6725
425	4980	6710
426	4988	6694
427	4997	6678
428	5004	6660
429	5013	6645
430	5021	6629
431	5031	6616
432	5041	6601
433	5049	6585
434	5058	6570
435	5066	6553
436	5075	6539
437	5084	6523
438	5093	6509
439	5102	6493
440	5110	6478
441	5119	6463
442	5128	6448
443	5137	6433
444	5146	6418
445	5156	6405
446	5167	6392
447	5174	6376
448	5183	6361
449	5191	6345
450	5199	6329
451	5207	6313
452	5217	6300
453	5226	6286
454	5235	6271
455	5243	6255
456	5251	6239
457	5260	6225
458	5267	6208
459	5276	6193
460	5284	6178
461	5294	6164
462	5301	6149
463	5311	6135
464	5319	6119
465	5327	6104
466	5333	6087
467	5340	6071
468	5347	6054
469	5355	6038
470	5362	6023
471	5371	6009
472	5379	5993
473	5388	5979
474	5394	5962
475	5403	5948
476	5413	5935
477	5421	5920
478	5428	5904
479	5435	5888
480	5443	5873
481	5450	5857
482	5458	5842
483	5466	5827
484	5474	5812
485	5481	5796
486	5487	5780
487	5495	5765
488	5501	5749
489	5509	5734
490	5516	5718
491	5523	5702
492	5530	5687
493	5537	5671
494	5544	5656
495	5550	5640
496	5558	5625
497	5565	5609
498	5571	5593
499	5578	5578
500	5585	5563
501	5591	5547
502	5598	5531
503	5607	5518
504	5617	5506
505	5625	5491
506	5633	5478
507	5642	5464
508	5651	5451
509	5659	5437
510	5668	5424
511	5676	5410
512	5684	5396
513	5692	5382
514	5700	5368
515	5712	5358
516	5720	5343
517	5729	5331
518	5737	5317
519	5746	5304
520	5753	5289
521	5761	5276
522	5769	5262
523	5777	5248
524	5786	5235
525	5793	5221
526	5802	5207
527	5810	5193
528	5817	5179
529	5824	5165
530	5832	5151
531	5839	5137
532	5848	5124
533	5858	5112
534	5868	5100
535	5876	5087
536	5884	5073
537	5892	5060
538	5901	5047
539	5909	5033
540	5919	5021
541	5927	5009
542	5934	4994
543	5943	4982
544	5951	4968
545	5959	4955
546	5966	4941
547	5974	4928
548	5982	4914
549	5990	4901
550	5997	4887
551	6006	4874
552	6013	4860
553	6024	4850
554	6035	4838
555	6043	4826
556	6052	4814
557	6060	4800
558	6069	4788
559	6077	4774
560	6085	4761
561	6092	4748
562	6100	4735
563	6108	4721
564	6115	4708
565	6124	4695
566	6132	4683
567	6138	4669
568	6145	4655
569	6152	4641
570	6159	4628
571	6170	4617
572	6177	4603
573	6184	4589
574	6192	4577
575	6199	4563
576	6207	4550
577	6216	4538
578	6223	4525
579	6230	4511
580	6237	4498
581	6244	4484
582	6251	4471
583	6260	4459
584	6267	4446
585	6276	4433
586	6283	4421
587	6291	4408
588	6299	4395
589	6307	4383
590	6314	4369
591	6322	4357
592	6330	4345
593	6340	4333
594	6349	4321
595	6357	4309
596	6366	4297
597	6375	4286
598	6384	4273
599	6392	4261
600	6399	4248
601	6409	4237
602	6416	4224
603	6426	4213
604	6434	4200
605	6442	4188
606	6449	4175
607	6459	4164
608	6466	4151
609	6476	4140
610	6485	4128
611	6492	4116
612	6502	4105
613	6511	4093
614	6522	4083
615	6529	4070
616	6538	4058
617	6546	4046
618	6551	4032
619	6558	4019
620	6567	4007
621	6574	3995
622	6581	3982
623	6588	3970
624	6597	3958
625	6604	3945
626	6612	3933
627	6619	3921
628	6627	3908
629	6635	3896
630	6644	3885
631	6652	3873
632	6660	3861
633	6667	3849
634	6677	3838
635	6684	3825
636	6692	3813
637	6699	3801
638	6708	3789
639	6716	3777
640	6724	3765
641	6731	3753
642	6739	3741
643	6747	3729
644	6754	3717
645	6761	3705
646	6770	3693
647	6778	3681
648	6786	3670
649	6794	3658
650	6801	3646
651	6808	3634
652	6816	3622
653	6823	3609
654	6831	3598
655	6840	3587
656	6849	3575
657	6857	3564
658	6864	3552
659	6873	3540
660	6880	3528
661	6889	3517
662	6896	3505
663	6904	3493
664	6911	3481
665	6922	3471
666	6930	3459
667	6938	3448
668	6946	3437
669	6956	3426
670	6965	3415
671	6973	3403
672	6982	3392
673	6991	3381
674	7000	3370
675	7009	3359
676	7018	3348
677	7027	3337
678	7037	3326
679	7046	3315
680	7055	3305
681	7063	3293
682	7070	3281
683	7078	3270
684	7086	3258
685	7095	3247
686	7103	3236
687	7110	3224
688	7118	3212
689	7125	3201
690	7132	3189
691	7139	3177
692	7148	3166
693	7157	3155
694	7165	3144
695	7172	3133
696	7180	3121
697	7188	3110
698	7196	3099
699	7204	3087
700	7213	3076
701	7220	3065
702	7227	3053
703	7235	3042
704	7242	3030
705	7250	3019
706	7258	3008
707	7265	2996
708	7273	2985
709	7281	2974
710	7289	2963
711	7298	2952
712	7306	2941
713	7314	2929
714	7322	2918
715	7329	2907
716	7338	2896
717	7346	2885
718	7353	2874
719	7361	2862
720	7370	2852
721	7378	2840
722	7386	2829
723	7393	2818
724	7402	2807
725	7409	2796
726	7418	2785
727	7425	2774
728	7435	2763
729	7443	2753
730	7450	2741
731	7457	2730
732	7465	2719
733	7474	2708
734	7483	2698
735	7492	2687
736	7500	2676
737	7510	2666
738	7518	2655
739	7528	2644
740	7536	2634
741	7544	2623
742	7550	2611
743	7559	2601
744	7568	2590
745	7576	2579
746	7586	2569
747	7594	2558
748	7602	2547
749	7610	2536
750	7620	2526
751	7628	2515
752	7635	2504
753	7642	2493
754	7651	2483
755	7660	2472
756	7670	2462
757	7678	2451
758	7685	2440
759	7693	2429
760	7702	2418
761	7711	2408
762	7719	2397
763	7728	2387
764	7738	2377
765	7746	2366
766	7755	2356
767	7763	2345
768	7773	2335
769	7780	2324
770	7788	2313
771	7795	2302
772	7803	2291
773	7810	2280
774	7817	2269
775	7825	2259
776	7834	2248
777	7841	2237
778	7850	2227
779	7856	2215
780	7865	2205
781	7872	2194
782	7882	2184
783	7889	2173
784	7898	2163
785	7906	2152
786	7914	2142
787	7922	2131
788	7932	2121
789	7941	2110
790	7949	2100
791	7957	2089
792	7964	2079
793	7973	2068
794	7981	2058
795	7989	2047
796	7996	2036
797	8005	2026
798	8013	2015
799	8020	2005
800	8028	1994
801	8036	1984
802	8045	1973
803	8055	1963
804	8063	1953
805	8072	1942
806	8080	1932
807	8088	1922
808	8096	1911
809	8104	1901
810	8112	1890
811	8121	1880
812	8129	1869
813	8137	1859
814	8144	1848
815	8152	1838
816	8160	1827
817	8169	1817
818	8179	1807
819	8186	1797
820	8195	1786
821	8202	1776
822	8212	1766
823	8221	1756
824	8228	1745
825	8237	1735
826	8244	1724
827	8251	1714
828	8259	1703
829	8267	1693
830	8275	1683
831	8282	1672
832	8290	1662
833	8299	1651
834	8306	1641
835	8314	1631
836	8321	1620
837	8329	1610
838	8336	1599
839	8344	1589
840	8351	1578
841	8358	1568
842	8368	1558
843	8387	1550
844	8396	1540
845	8403	1529
846	8411	1519
847	8421	1509
848	8429	1499
849	8436	1488
850	8444	1478
851	8452	1468
852	8460	1457
853	8467	1447
854	8475	1437
855	8482	1426
856	8490	1416
857	8498	1406
858	8506	1396
859	8514	1386
860	8523	1376
861	8532	1365
862	8539	1355
863	8549	1345
864	8556	1335
865	8565	1325
866	8572	1315
867	8580	1304
868	8586	1294
869	8594	1284
870	8601	1273
871	8608	1263
872	8616	1253
873	8624	1243
874	8630	1232
875	8638	1222
876	8645	1212
877	8654	1202
878	8660	1192
879	8669	1182
880	8677	1172
881	8686	1162
882	8694	1152
883	8704	1142
884	8710	1131
885	8719	1121
886	8727	1111
887	8736	1101
888	8743	1091
889	8753	1081
890	8760	1071
891	8768	1061
892	8776	1051
893	8785	1041
894	8795	1031
895	8803	1021
896	8811	1011
897	8820	1001
898	8830	992
899	8840	982
900	8848	972
901	8859	962
902	8867	952
903	8876	942
904	8886	932
905	8895	922
906	8904	913
907	8912	903
908	8923	893
909	8933	883
910	8941	873
911	8951	863
912	8961	853
913	8970	844
914	8977	833
915	8985	823
916	8992	813
917	9001	804
918	9007	793
919	9017	784
920	9024	774
921	9033	764
922	9040	754
923	9049	744
924	9056	734
925	9065	724
926	9074	714
927	9081	704
928	9088	694
929	9095	684
930	9102	674
931	9111	664
932	9119	654
933	9127	644
934	9135	635
935	9142	625
936	9152	615
937	9159	605
938	9169	595
939	9176	585
940	9183	575
941	9190	565
942	9198	556
943	9205	546
944	9212	536
945	9219	526
946	9228	516
947	9236	506
948	9244	496
949	9251	486
950	9260	477
951	9267	467
952	9276	457
953	9285	447
954	9294	437
955	9306	428
956	9313	418
957	9323	408
958	9335	399
959	9343	389
960	9353	379
961	9361	369
962	9370	360
963	9379	350
964	9388	340
965	9397	330
966	9405	320
967	9414	311
968	9423	301
969	9432	291
970	9442	281
971	9450	272
972	9459	262
973	9466	252
974	9472	242
975	9479	233
976	9485	223
977	9491	213
978	9497	203
979	9503	193
980	9509	184
981	9514	174
982	9521	164
983	9526	154
984	9532	145
985	9538	135
986	9544	125
987	9552	116
988	9557	106
989	9564	96
990	9569	86
991	9575	77
992	9582	67
993	9588	57
994	9595	48
995	9601	38
996	9606	28
997	9613	19
998	9619	9
999	9626	0
58	40
996	10066	30
997	10074	20
998	10083	10
999	10091	0
