iter	Passed	Remaining
412	4096	862
413	4107	853
414	4114	842
415	4125	832
416	4131	822
417	4138	811
418	4147	801
419	4157	791
420	4166	781
421	4176	771
422	4185	761
423	4194	751
424	4201	741
425	4211	731
426	4219	721
427	4226	711
428	4233	700
429	4242	690
430	4248	680
431	4253	669
432	4260	659
433	4268	649
434	4278	639
435	4288	629
436	4299	619
437	4308	609
438	4318	600
439	4328	590
440	4341	580
441	4354	571
442	4367	562
443	4377	552
444	4387	542
445	4398	532
446	4408	522
447	4421	513
448	4433	503
449	4440	493
450	4448	483
451	4459	473
452	4468	463
453	4479	453
454	4490	444
455	4500	434
456	4507	424
457	4518	414
458	4529	404
459	4538	394
460	4545	384
461	4554	374
462	4560	364
463	4571	354
464	4582	344
465	4591	335
466	4599	324
467	4609	315
468	4620	305
469	4630	295
470	4639	285
471	4648	275
472	4656	265
473	4666	255
474	4671	245
475	4680	236
476	4686	225
477	4695	216
478	4704	206
479	4714	196
480	4721	186
481	4730	176
482	4738	166
483	4744	156
484	4752	146
485	4758	137
486	4768	127
487	4778	117
488	4783	107
489	4790	97
490	4800	87
491	4807	78
492	4816	68
493	4823	58
494	4832	48
495	4838	39
496	4847	29
497	4855	19
498	4864	9
499	4873	0
