iter	Logloss
0	0.6887116916
1	0.6831861855
2	0.67854099
3	0.6733212678
4	0.6690478118
5	0.6651026408
6	0.6603162461
7	0.6552455183
8	0.6521014338
9	0.6485606207
10	0.6450619905
11	0.6409626836
12	0.6376751886
13	0.6347867993
14	0.6317929254
15	0.6284628605
16	0.6254311714
17	0.6232233462
18	0.6206202853
19	0.6185749994
20	0.6161544358
21	0.6139685589
22	0.6104793272
23	0.6088489035
24	0.6067894093
25	0.604595903
26	0.6023960943
27	0.6009037737
28	0.5997959635
29	0.5987817515
30	0.5972079401
31	0.5949988987
32	0.5939286826
33	0.5924642812
34	0.5908383356
35	0.5895348148
36	0.5886231022
37	0.587672358
38	0.5860970539
39	0.5851193857
40	0.5836230292
41	0.5824621449
42	0.5815007307
43	0.5801833885
44	0.5792468527
45	0.5790647424
46	0.5779152469
47	0.5776994125
48	0.5762283767
49	0.5748752096
50	0.5738406527
51	0.572705255
52	0.5718968156
53	0.5711841307
54	0.5696594128
55	0.5686725672
56	0.5678121594
57	0.5674881866
58	0.5665519825
59	0.5656832819
60	0.5650309134
61	0.5642799709
62	0.5635016621
63	0.5621657441
64	0.5615071283
65	0.5608874335
66	0.5605158046
67	0.5602388244
68	0.5600845226
69	0.5590964055
70	0.5577944327
71	0.5571688224
72	0.5566220491
73	0.5561371955
74	0.5552286894
75	0.5552182405
76	0.5549674656
77	0.5544980367
78	0.5542033099
79	0.5535841126
80	0.5532022559
81	0.5521605118
82	0.5514348901
83	0.5511573018
84	0.5508044699
85	0.5498813132
86	0.549431013
87	0.5488961261
88	0.5481802899
89	0.5478507332
90	0.5476505998
91	0.5470812148
92	0.5465439506
93	0.5456917251
94	0.5451389257
95	0.544865705
96	0.5442098535
97	0.5439387888
98	0.5435281284
99	0.5432183086
100	0.5427535237
101	0.5422743645
102	0.5421486454
103	0.5413592795
104	0.5406081711
105	0.5400754403
106	0.5386010875
107	0.5379649176
108	0.5377019246
109	0.5376798105
110	0.5366293866
111	0.5358802132
112	0.5355414239
113	0.5352086606
114	0.5345037156
115	0.5339673913
116	0.5336339094
117	0.5332276165
118	0.5329437809
119	0.5325463336
120	0.532373843
121	0.5317826202
122	0.5313858917
123	0.5303087096
124	0.5301217342
125	0.5297629868
126	0.5289911464
127	0.5287324104
128	0.5284729004
129	0.528117636
130	0.5274719017
131	0.5269428198
132	0.5268332993
133	0.5265788203
134	0.5261729697
135	0.5259037847
136	0.5255686442
137	0.5251642863
138	0.5248540795
139	0.5246138089
140	0.5245321523
141	0.5242175227
142	0.5235811316
143	0.5229949951
144	0.5217277416
145	0.52147857
146	0.5211543208
147	0.5209259365
148	0.5207892155
149	0.5205446326
150	0.5200988106
151	0.5197581968
152	0.5195369997
153	0.5189913321
154	0.5183413962
155	0.5181392172
156	0.5177187712
157	0.5170274265
158	0.5166833297
159	0.5162916875
160	0.5159843555
161	0.5157635454
162	0.5154225446
163	0.5152537581
164	0.5148116402
165	0.5145830901
166	0.5143049489
167	0.513746621
168	0.513696477
169	0.5131406369
170	0.5124344757
171	0.5121319536
172	0.5118643719
173	0.5116880666
174	0.5113480057
175	0.5109078228
176	0.5106562739
177	0.510412078
178	0.5102347222
179	0.5098991947
180	0.5096050207
181	0.5091243136
182	0.5087468797
183	0.5080278369
184	0.5076193326
185	0.5073414125
186	0.5068801106
187	0.5067284626
188	0.5064544678
189	0.5062354268
190	0.5056245223
191	0.5053801606
192	0.5046676415
193	0.5044126649
194	0.5042633941
195	0.504089853
196	0.5037200485
197	0.5034164208
198	0.5031010724
199	0.5025928331
